Via delle Mimose, 17 – 25121, Brescia (BS)
Via dei Gelsomini, 45 – 09128, Cagliari (CA)
Vicolo del Faggio, 8 – 06123, Perugia (PG)
Strada del Ciliegio, 32 – 37122, Verona (VR)
Via delle Margherite, 56 – 72100, Brindisi (BR)
Contrada San Martino, 89 – 85100, Potenza (PZ)
Via del Glicine, 23 – 33100, Udine (UD)
Viale dei Pini, 10 – 80144, Napoli (NA)
Via del Leccio, 77 – 43121, Parma (PR)
Via dei Noccioli, 12 – 50142, Firenze (FI)
Piazza delle Viole, 4 – 65123, Pescara (PE)
Via del Sole, 99 – 16154, Genova (GE)
Viale degli Aceri, 55 – 70124, Bari (BA)
Via delle Ginestre, 38 – 09134, Cagliari (CA)
Borgo del Salice, 15 – 43126, Parma (PR)
Via degli Ulivi, 22 – 10137, Torino (TO)
Via dei Larici, 50 – 37139, Verona (VR)
Vicolo del Mandorlo, 7 – 06132, Perugia (PG)
Via delle Felci, 68 – 72100, Brindisi (BR)
Via della Quercia, 79 – 90144, Palermo (PA)
Strada delle Rose, 30 – 60131, Ancona (AN)
Via delle Primule, 11 – 10126, Torino (TO)
Piazza del Tulipano, 5 – 80141, Napoli (NA)
Via dei Ciclamini, 41 – 50139, Firenze (FI)
Viale degli Abeti, 27 – 43123, Parma (PR)
Via del Platano, 33 – 70125, Bari (BA)
Vicolo della Betulla, 9 – 16143, Genova (GE)
Via delle Ortensie, 47 – 65124, Pescara (PE)
Strada del Tiglio, 14 – 37129, Verona (VR)
Via dei Castagni, 61 – 09127, Cagliari (CA)
Contrada Fontechiara, 19 – 85100, Potenza (PZ)
Via del Gelso, 82 – 60128, Ancona (AN)
Piazzetta del Mughetto, 2 – 10129, Torino (TO)
Viale delle Camelie, 52 – 70126, Bari (BA)
Via del Girasole, 18 – 50145, Firenze (FI)
Borgo del Castello, 6 – 37121, Verona (VR)
Via degli Allori, 91 – 80142, Napoli (NA)
Strada dei Papaveri, 34 – 72100, Brindisi (BR)
Via del Mirto, 29 – 65121, Pescara (PE)
Vicolo della Lavanda, 7 – 43124, Parma (PR)
Via delle Ninfee, 75 – 09135, Cagliari (CA)
Via dei Salici, 13 – 16132, Genova (GE)
Viale della Betonica, 60 – 60127, Ancona (AN)
Via della Mimosa Bianca, 21 – 10133, Torino (TO)
Piazza dei Fiordalisi, 3 – 50146, Firenze (FI)
Via del Corbezzolo, 89 – 70128, Bari (BA)
Borgo delle Viole, 8 – 37135, Verona (VR)
Via dei Gigli, 92 – 80143, Napoli (NA)
Strada della Ginestra, 27 – 72100, Brindisi (BR)
Via dei Fiocchi di Neve, 5 – 09136, Cagliari (CA)
Vicolo dei Giunchi, 31 – 43122, Parma (PR)
